tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
-1.00;;-1.00;-1.00;18724.00;0.40;29000804.26_0;5.10;0.00;tripinfo_10402 routing_10402;24476.00;10402;1;1642.41;1.03;0.00;23963.43;DEFAULT_VEHTYPE;end;89;23362.00
-1.00;;-1.00;-1.00;27974.00;9223.40;839709051_0;5.10;0.00;tripinfo_10417 routing_10417;15226.00;10417;2;375.75;0.95;0.00;15196.57;DEFAULT_VEHTYPE;end;72;14389.00
-1.00;;-1.00;-1.00;18760.00;0.40;14118784#1_0;5.10;0.00;tripinfo_10422 routing_10422;24440.00;10422;1;2657.29;1.20;0.00;23770.76;DEFAULT_VEHTYPE;end;100;23078.00
-1.00;;-1.00;-1.00;28279.00;9465.40;839709051_0;5.10;0.00;tripinfo_10452 routing_10452;14921.00;10452;2;368.25;0.88;0.00;14890.02;DEFAULT_VEHTYPE;end;72;14110.00
-1.00;;-1.00;-1.00;28586.00;9763.40;839709051_0;5.10;0.00;tripinfo_10457 routing_10457;14614.00;10457;2;360.75;1.18;0.00;14591.01;DEFAULT_VEHTYPE;end;65;13812.00
-1.00;;-1.00;-1.00;18907.00;77.20;231483339#0_0;5.10;0.00;tripinfo_10461 routing_10461;24293.00;10461;2;2893.13;1.18;0.00;23797.46;DEFAULT_VEHTYPE;end;105;22829.00
-1.00;;-1.00;-1.00;18957.00;123.60;117055115_0;0.10;0.00;tripinfo_10463 routing_10463;24243.00;10463;2;556.90;1.03;0.00;24201.15;DEFAULT_VEHTYPE;end;130;23207.00
-1.00;;-1.00;-1.00;25137.00;6280.20;-96016135_0;2.26;0.00;tripinfo_10476 routing_10476;18063.00;10476;2;1042.34;1.03;0.00;17651.63;DEFAULT_VEHTYPE;end;65;17193.00
-1.00;;-1.00;-1.00;25145.00;6273.80;-96016135_0;2.26;0.00;tripinfo_10484 routing_10484;18055.00;10484;2;992.56;1.03;0.00;17832.69;DEFAULT_VEHTYPE;end;74;17347.00
-1.00;;-1.00;-1.00;19787.00;903.20;14858868_0;5.10;0.00;tripinfo_10491 routing_10491;23413.00;10491;2;4048.22;1.02;0.00;22577.24;DEFAULT_VEHTYPE;end;104;21707.00
-1.00;;-1.00;-1.00;28890.00;9993.60;839709051_0;5.10;0.00;tripinfo_10498 routing_10498;14310.00;10498;2;353.24;0.95;0.00;14282.26;DEFAULT_VEHTYPE;end;67;13524.00
-1.00;;-1.00;-1.00;29193.00;10294.80;839709051_0;5.10;0.00;tripinfo_10499 routing_10499;14007.00;10499;2;345.74;0.97;0.00;13980.42;DEFAULT_VEHTYPE;end;64;13222.00
-1.00;;-1.00;-1.00;29502.00;10591.20;839709051_0;5.10;0.00;tripinfo_10506 routing_10506;13698.00;10506;1;338.24;1.02;0.00;13673.21;DEFAULT_VEHTYPE;end;61;12927.00
-1.00;;-1.00;-1.00;18915.00;0.60;31449245_0;5.10;0.00;tripinfo_10508 routing_10508;24285.00;10508;1;3867.02;0.94;0.00;22587.94;DEFAULT_VEHTYPE;end;104;21901.00
-1.00;;-1.00;-1.00;18924.00;0.60;13654453_0;5.10;0.00;tripinfo_10513 routing_10513;24276.00;10513;1;985.78;0.92;0.00;24197.80;DEFAULT_VEHTYPE;end;124;23193.00
-1.00;;-1.00;-1.00;27609.00;8667.60;31445160#1_0;5.10;0.00;tripinfo_10523 routing_10523;15591.00;10523;2;784.75;1.06;0.00;15500.88;DEFAULT_VEHTYPE;end;67;15033.00
-1.00;;-1.00;-1.00;18985.00;0.40;13654453_0;5.10;0.00;tripinfo_10547 routing_10547;24215.00;10547;1;978.27;1.06;0.00;24147.27;DEFAULT_VEHTYPE;end;128;23120.00
